timestamp_utc,timestamp_ist,location,current_speed,free_flow_speed,congestion_index,confidence
2026-03-04 20:53:30.497990+00:00,2026-03-05 02:23:30.497990+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 20:53:30.780392+00:00,2026-03-05 02:23:30.780392+00:00,Market Area,47,47,0.0,1.0
2026-03-04 21:22:43.004342+00:00,2026-03-05 02:52:43.004342+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 21:22:43.557573+00:00,2026-03-05 02:52:43.557573+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 21:22:43.793554+00:00,2026-03-05 02:52:43.793554+00:00,Market Area,47,47,0.0,1.0
2026-03-04 21:54:05.813124+00:00,2026-03-05 03:24:05.813124+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 21:54:06.363108+00:00,2026-03-05 03:24:06.363108+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 21:54:06.596557+00:00,2026-03-05 03:24:06.596557+00:00,Market Area,47,47,0.0,1.0
2026-03-04 22:19:52.073856+00:00,2026-03-05 03:49:52.073856+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 22:19:52.771785+00:00,2026-03-05 03:49:52.771785+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 22:19:53.032904+00:00,2026-03-05 03:49:53.032904+00:00,Market Area,47,47,0.0,1.0
2026-03-04 22:54:32.207182+00:00,2026-03-05 04:24:32.207182+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 22:54:32.797524+00:00,2026-03-05 04:24:32.797524+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 22:54:33.104360+00:00,2026-03-05 04:24:33.104360+00:00,Market Area,47,47,0.0,1.0
2026-03-04 23:19:44.808177+00:00,2026-03-05 04:49:44.808177+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 23:19:45.326463+00:00,2026-03-05 04:49:45.326463+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 23:19:45.568403+00:00,2026-03-05 04:49:45.568403+00:00,Market Area,47,47,0.0,1.0
2026-03-04 23:49:10.469867+00:00,2026-03-05 05:19:10.469867+00:00,Central Junction,48,48,0.0,1.0
2026-03-04 23:49:10.888587+00:00,2026-03-05 05:19:10.888587+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-04 23:49:11.036667+00:00,2026-03-05 05:19:11.036667+00:00,Market Area,47,47,0.0,1.0
2026-03-05 01:04:22.497118+00:00,2026-03-05 06:34:22.497118+00:00,Central Junction,48,48,0.0,1.0
2026-03-05 01:04:23.126023+00:00,2026-03-05 06:34:23.126023+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-05 01:04:23.365132+00:00,2026-03-05 06:34:23.365132+00:00,Market Area,47,47,0.0,1.0
2026-03-05 03:36:31.058726+00:00,2026-03-05 09:06:31.058726+00:00,Central Junction,48,48,0.0,1.0
2026-03-05 03:36:31.605298+00:00,2026-03-05 09:06:31.605298+00:00,MC Road Segment,48,48,0.0,1.0
